,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
1357,7.3,0.43,0.24,2.5,0.078,27.0,67.0,0.99648,3.6,0.59,11.1
138,7.8,0.56,0.19,2.1,0.081,15.0,105.0,0.9962,3.33,0.54,9.5
92,8.6,0.49,0.29,2.0,0.11,19.0,133.0,0.9972,2.93,1.98,9.8
329,10.7,0.46,0.39,2.0,0.061,7.0,15.0,0.9981,3.18,0.62,9.5
307,10.3,0.41,0.42,2.4,0.213,6.0,14.0,0.9994,3.19,0.62,9.5
1167,8.2,0.33,0.39,2.5,0.074,29.0,48.0,0.99528,3.32,0.88,12.4
571,6.2,0.36,0.24,2.2,0.095,19.0,42.0,0.9946,3.57,0.57,11.7
665,9.4,0.59,0.14,2.0,0.084,25.0,48.0,0.9981,3.14,0.56,9.7
112,8.4,0.6,0.1,2.2,0.085,14.0,111.0,0.9964,3.15,0.66,9.8
1122,6.3,0.47,0.0,1.4,0.055,27.0,33.0,0.9922,3.45,0.48,12.3
909,7.3,0.305,0.39,1.2,0.059,7.0,11.0,0.99331,3.29,0.52,11.5
1172,9.7,0.42,0.46,2.1,0.074,5.0,16.0,0.99649,3.27,0.74,12.3
472,12.5,0.37,0.55,2.6,0.083,25.0,68.0,0.9995,3.15,0.82,10.4
551,9.4,0.43,0.24,2.8,0.092,14.0,45.0,0.998,3.19,0.73,10.0
543,11.2,0.66,0.24,2.5,0.085,16.0,53.0,0.9993,3.06,0.72,11.0
487,10.2,0.645,0.36,1.8,0.053,5.0,14.0,0.9982,3.17,0.42,10.0
686,7.1,0.65,0.18,1.8,0.07,13.0,40.0,0.997,3.44,0.6,9.1
145,8.1,0.67,0.55,1.8,0.117,32.0,141.0,0.9968,3.17,0.62,9.4
875,8.8,0.31,0.4,2.8,0.109,7.0,16.0,0.99614,3.31,0.79,11.8
238,7.2,0.63,0.0,1.9,0.097,14.0,38.0,0.99675,3.37,0.58,9.0
433,12.3,0.39,0.63,2.3,0.091,6.0,18.0,1.0004,3.16,0.49,9.5
1107,9.1,0.3,0.41,2.0,0.068,10.0,24.0,0.99523,3.27,0.85,11.7
240,8.9,0.635,0.37,1.7,0.263,5.0,62.0,0.9971,3.0,1.09,9.3
1404,8.0,0.5,0.39,2.6,0.082,12.0,46.0,0.9985,3.43,0.62,10.7
1251,7.5,0.58,0.14,2.2,0.077,27.0,60.0,0.9963,3.28,0.59,9.8
793,7.7,0.6,0.0,2.6,0.055,7.0,13.0,0.99639,3.38,0.56,10.8
658,7.2,0.52,0.07,1.4,0.074,5.0,20.0,0.9973,3.32,0.81,9.6
1385,8.0,0.81,0.25,3.4,0.076,34.0,85.0,0.99668,3.19,0.42,9.2
849,6.4,0.63,0.21,1.6,0.08,12.0,32.0,0.99689,3.58,0.66,9.8
616,9.6,0.6,0.5,2.3,0.079,28.0,71.0,0.9997,3.5,0.57,9.7
1521,6.9,0.48,0.2,1.9,0.082,9.0,23.0,0.99585,3.39,0.43,9.05
1471,6.7,0.7,0.08,3.75,0.067,8.0,16.0,0.99334,3.43,0.52,12.6
1347,7.2,0.655,0.03,1.8,0.078,7.0,12.0,0.99587,3.34,0.39,9.5
646,7.3,0.67,0.05,3.6,0.107,6.0,20.0,0.9972,3.4,0.63,10.1
602,7.7,0.835,0.0,2.6,0.081,6.0,14.0,0.9975,3.3,0.52,9.3
1534,6.6,0.56,0.14,2.4,0.064,13.0,29.0,0.99397,3.42,0.62,11.7
226,8.9,0.59,0.5,2.0,0.337,27.0,81.0,0.9964,3.04,1.61,9.5
1360,9.2,0.54,0.31,2.3,0.112,11.0,38.0,0.99699,3.24,0.56,10.9
659,7.1,0.84,0.02,4.4,0.096,5.0,13.0,0.997,3.41,0.57,11.0
235,7.2,0.63,0.0,1.9,0.097,14.0,38.0,0.99675,3.37,0.58,9.0
48,6.4,0.4,0.23,1.6,0.066,5.0,12.0,0.9958,3.34,0.56,9.2
1523,6.8,0.48,0.25,2.0,0.076,29.0,61.0,0.9953,3.34,0.6,10.4
1196,7.9,0.58,0.23,2.3,0.076,23.0,94.0,0.99686,3.21,0.58,9.5
1317,9.9,0.44,0.46,2.2,0.091,10.0,41.0,0.99638,3.18,0.69,11.9
394,12.7,0.6,0.65,2.3,0.063,6.0,25.0,0.9997,3.03,0.57,9.9
516,12.5,0.6,0.49,4.3,0.1,5.0,14.0,1.001,3.25,0.74,11.9
1446,6.9,0.63,0.02,1.9,0.078,18.0,30.0,0.99712,3.4,0.75,9.8
757,8.1,0.87,0.0,2.2,0.084,10.0,31.0,0.99656,3.25,0.5,9.8
1038,8.7,0.41,0.41,6.2,0.078,25.0,42.0,0.9953,3.24,0.77,12.6
122,7.3,0.695,0.0,2.5,0.075,3.0,13.0,0.998,3.49,0.52,9.2
204,7.0,0.43,0.36,1.6,0.089,14.0,37.0,0.99615,3.34,0.56,9.2
783,6.5,0.46,0.14,2.4,0.114,9.0,37.0,0.99732,3.66,0.65,9.8
1366,7.3,0.74,0.08,1.7,0.094,10.0,45.0,0.99576,3.24,0.5,9.8
65,7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9
192,6.8,0.63,0.12,3.8,0.099,16.0,126.0,0.9969,3.28,0.61,9.5
1082,7.2,0.38,0.3,1.8,0.073,31.0,70.0,0.99685,3.42,0.59,9.5
1344,11.5,0.42,0.48,2.6,0.077,8.0,20.0,0.99852,3.09,0.53,11.0
709,9.7,0.31,0.47,1.6,0.062,13.0,33.0,0.9983,3.27,0.66,10.0
518,10.9,0.21,0.49,2.8,0.088,11.0,32.0,0.9972,3.22,0.68,11.7
291,11.0,0.2,0.48,2.0,0.343,6.0,18.0,0.9979,3.3,0.71,10.5
1381,6.8,0.83,0.09,1.8,0.074,4.0,25.0,0.99534,3.38,0.45,9.6
936,8.8,0.3,0.38,2.3,0.06,19.0,72.0,0.99543,3.39,0.72,11.8
879,7.2,0.6,0.04,2.5,0.076,18.0,88.0,0.99745,3.53,0.55,9.5
77,6.8,0.785,0.0,2.4,0.104,14.0,30.0,0.9966,3.52,0.55,10.7
1448,6.9,0.58,0.01,1.9,0.08,40.0,54.0,0.99683,3.4,0.73,9.7
425,6.6,0.84,0.03,2.3,0.059,32.0,48.0,0.9952,3.52,0.56,12.3
1278,8.0,0.715,0.22,2.3,0.075,13.0,81.0,0.99688,3.24,0.54,9.5
627,8.8,0.6,0.29,2.2,0.098,5.0,15.0,0.9988,3.36,0.49,9.1
443,10.0,0.44,0.49,2.7,0.077,11.0,19.0,0.9963,3.23,0.63,11.6
1367,6.9,0.54,0.3,2.2,0.088,9.0,105.0,0.99725,3.25,1.18,10.5
126,8.2,1.33,0.0,1.7,0.081,3.0,12.0,0.9964,3.53,0.49,10.9
617,11.5,0.31,0.51,2.2,0.079,14.0,28.0,0.9982,3.03,0.93,9.8
988,7.7,0.39,0.12,1.7,0.097,19.0,27.0,0.99596,3.16,0.49,9.4
696,7.0,0.65,0.02,2.1,0.066,8.0,25.0,0.9972,3.47,0.67,9.5
1120,7.9,0.54,0.34,2.5,0.076,8.0,17.0,0.99235,3.2,0.72,13.1
1149,10.0,0.35,0.47,2.0,0.061,6.0,11.0,0.99585,3.23,0.52,12.0
1115,7.0,0.69,0.07,2.5,0.091,15.0,21.0,0.99572,3.38,0.6,11.3
87,7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6
621,8.2,0.56,0.23,3.4,0.078,14.0,104.0,0.9976,3.28,0.62,9.4
848,6.4,0.64,0.21,1.8,0.081,14.0,31.0,0.99689,3.59,0.66,9.8
740,8.3,0.76,0.29,4.2,0.075,12.0,16.0,0.9965,3.45,0.68,11.5
1355,6.1,0.32,0.25,1.8,0.086,5.0,32.0,0.99464,3.36,0.44,10.1
174,7.3,0.38,0.21,2.0,0.08,7.0,35.0,0.9961,3.33,0.47,9.5
1130,9.1,0.6,0.0,1.9,0.058,5.0,10.0,0.9977,3.18,0.63,10.4
779,7.1,0.52,0.03,2.6,0.076,21.0,92.0,0.99745,3.5,0.6,9.8
734,7.7,0.56,0.2,2.0,0.075,9.0,39.0,0.9987,3.48,0.62,9.3
541,9.5,0.46,0.49,6.3,0.064,5.0,17.0,0.9988,3.21,0.73,11.0
215,7.0,0.49,0.49,5.6,0.06,26.0,121.0,0.9974,3.34,0.76,10.5
954,7.6,0.43,0.4,2.7,0.082,6.0,11.0,0.99538,3.44,0.54,12.2
239,8.2,1.0,0.09,2.3,0.065,7.0,37.0,0.99685,3.32,0.55,9.0
110,7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,9.5
246,7.1,0.68,0.07,1.9,0.075,16.0,51.0,0.99685,3.38,0.52,9.5
1036,7.6,0.31,0.34,2.5,0.082,26.0,35.0,0.99356,3.22,0.59,12.5
925,8.6,0.22,0.36,1.9,0.064,53.0,77.0,0.99604,3.47,0.87,11.0
1390,6.0,0.49,0.0,2.3,0.068,15.0,33.0,0.99292,3.58,0.59,12.5
634,7.9,0.35,0.21,1.9,0.073,46.0,102.0,0.9964,3.27,0.58,9.5
1460,6.4,0.42,0.09,2.3,0.054,34.0,64.0,0.99724,3.41,0.68,10.4
721,8.9,0.48,0.24,2.85,0.094,35.0,106.0,0.9982,3.1,0.53,9.2
1298,5.7,0.6,0.0,1.4,0.063,11.0,18.0,0.99191,3.45,0.56,12.2
841,6.6,0.66,0.0,3.0,0.115,21.0,31.0,0.99629,3.45,0.63,10.3
1013,7.5,0.71,0.0,1.6,0.092,22.0,31.0,0.99635,3.38,0.58,10.0
109,8.1,0.785,0.52,2.0,0.122,37.0,153.0,0.9969,3.21,0.69,9.3
1452,6.6,0.58,0.02,2.0,0.062,37.0,53.0,0.99374,3.35,0.76,11.6
85,6.9,0.55,0.15,2.2,0.076,19.0,40.0,0.9961,3.41,0.59,10.1
1301,6.7,0.86,0.07,2.0,0.1,20.0,57.0,0.99598,3.6,0.74,11.7
1488,5.6,0.54,0.04,1.7,0.049,5.0,13.0,0.9942,3.72,0.58,11.4
1422,7.0,0.54,0.0,2.1,0.079,39.0,55.0,0.9956,3.39,0.84,11.4
1346,6.1,0.59,0.01,2.1,0.056,5.0,13.0,0.99472,3.52,0.56,11.4
1457,7.6,0.49,0.33,1.9,0.074,27.0,85.0,0.99706,3.41,0.58,9.0
406,9.8,0.44,0.47,2.5,0.063,9.0,28.0,0.9981,3.24,0.65,10.8
897,7.1,0.59,0.01,2.3,0.08,27.0,43.0,0.9955,3.42,0.58,10.7
269,11.5,0.18,0.51,4.0,0.104,4.0,23.0,0.9996,3.28,0.97,10.1
1325,6.7,0.46,0.24,1.7,0.077,18.0,34.0,0.9948,3.39,0.6,10.6
940,9.6,0.33,0.52,2.2,0.074,13.0,25.0,0.99509,3.36,0.76,12.4
1583,6.2,0.46,0.29,2.1,0.074,32.0,98.0,0.99578,3.33,0.62,9.8
1086,8.5,0.34,0.4,4.7,0.055,3.0,9.0,0.99738,3.38,0.66,11.6
971,10.4,0.26,0.48,1.9,0.066,6.0,10.0,0.99724,3.33,0.87,10.9
1220,10.9,0.32,0.52,1.8,0.132,17.0,44.0,0.99734,3.28,0.77,11.5
567,8.7,0.7,0.24,2.5,0.226,5.0,15.0,0.9991,3.32,0.6,9.0
1500,7.5,0.725,0.04,1.5,0.076,8.0,15.0,0.99508,3.26,0.53,9.6
743,11.6,0.41,0.58,2.8,0.096,25.0,101.0,1.00024,3.13,0.53,10.0
1280,7.1,0.46,0.2,1.9,0.077,28.0,54.0,0.9956,3.37,0.64,10.4
969,6.7,0.56,0.09,2.9,0.079,7.0,22.0,0.99669,3.46,0.61,10.2
364,12.8,0.615,0.66,5.8,0.083,7.0,42.0,1.0022,3.07,0.73,10.0
340,12.2,0.34,0.5,2.4,0.066,10.0,21.0,1.0,3.12,1.18,9.2
1449,7.2,0.38,0.31,2.0,0.056,15.0,29.0,0.99472,3.23,0.76,11.3
1415,6.2,0.58,0.0,1.6,0.065,8.0,18.0,0.9966,3.56,0.84,9.4
791,8.8,0.64,0.17,2.9,0.084,25.0,130.0,0.99818,3.23,0.54,9.6
517,10.4,0.61,0.49,2.1,0.2,5.0,16.0,0.9994,3.16,0.63,8.4
446,12.5,0.38,0.6,2.6,0.081,31.0,72.0,0.9996,3.1,0.73,10.5
1462,6.8,0.64,0.03,2.3,0.075,14.0,31.0,0.99545,3.36,0.58,10.4
1419,7.7,0.64,0.21,2.2,0.077,32.0,133.0,0.9956,3.27,0.45,9.9
1394,6.4,0.57,0.14,3.9,0.07,27.0,73.0,0.99669,3.32,0.48,9.2
639,8.9,0.29,0.35,1.9,0.067,25.0,57.0,0.997,3.18,1.36,10.3
100,8.3,0.61,0.3,2.1,0.084,11.0,50.0,0.9972,3.4,0.61,10.2
418,11.9,0.38,0.51,2.0,0.121,7.0,20.0,0.9996,3.24,0.76,10.4
278,10.3,0.32,0.45,6.4,0.073,5.0,13.0,0.9976,3.23,0.82,12.6
1108,8.1,0.78,0.1,3.3,0.09,4.0,13.0,0.99855,3.36,0.49,9.5
1216,7.9,0.57,0.31,2.0,0.079,10.0,79.0,0.99677,3.29,0.69,9.5
775,7.2,1.0,0.0,3.0,0.102,7.0,16.0,0.99586,3.43,0.46,10.0
1593,6.8,0.62,0.08,1.9,0.068,28.0,38.0,0.99651,3.42,0.82,9.5
1141,8.2,0.38,0.32,2.5,0.08,24.0,71.0,0.99624,3.27,0.85,11.0
651,9.8,0.88,0.25,2.5,0.104,35.0,155.0,1.001,3.41,0.67,11.2
1490,7.1,0.22,0.49,1.8,0.039,8.0,18.0,0.99344,3.39,0.56,12.4
663,10.1,0.28,0.46,1.8,0.05,5.0,13.0,0.9974,3.04,0.79,10.2
44,6.8,0.67,0.02,1.8,0.05,5.0,11.0,0.9962,3.48,0.52,9.5
316,9.6,0.56,0.23,3.4,0.102,37.0,92.0,0.9996,3.3,0.65,10.1
1159,10.2,0.41,0.43,2.2,0.11,11.0,37.0,0.99728,3.16,0.67,10.8
877,7.7,0.715,0.01,2.1,0.064,31.0,43.0,0.99371,3.41,0.57,11.8
195,7.8,0.59,0.33,2.0,0.074,24.0,120.0,0.9968,3.25,0.54,9.4
1585,7.2,0.39,0.44,2.6,0.066,22.0,48.0,0.99494,3.3,0.84,11.5
923,6.8,0.41,0.31,8.8,0.084,26.0,45.0,0.99824,3.38,0.64,10.1
1039,8.9,0.5,0.21,2.2,0.088,21.0,39.0,0.99692,3.33,0.83,11.1
462,11.0,0.26,0.68,2.55,0.085,10.0,25.0,0.997,3.18,0.61,11.8
22,7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5
1043,9.5,0.39,0.41,8.9,0.069,18.0,39.0,0.99859,3.29,0.81,10.9
1515,6.9,0.84,0.21,4.1,0.074,16.0,65.0,0.99842,3.53,0.72,9.25
795,10.8,0.89,0.3,2.6,0.132,7.0,60.0,0.99786,2.99,1.18,10.2
1361,8.3,0.85,0.14,2.5,0.093,13.0,54.0,0.99724,3.36,0.54,10.1
468,11.4,0.36,0.69,2.1,0.09,6.0,21.0,1.0,3.17,0.62,9.2
1269,5.5,0.49,0.03,1.8,0.044,28.0,87.0,0.9908,3.5,0.82,14.0
180,8.8,0.61,0.14,2.4,0.067,10.0,42.0,0.9969,3.19,0.59,9.5
221,7.4,0.53,0.26,2.0,0.101,16.0,72.0,0.9957,3.15,0.57,9.4
285,9.9,0.59,0.07,3.4,0.102,32.0,71.0,1.00015,3.31,0.71,9.8
1587,5.8,0.61,0.11,1.8,0.066,18.0,28.0,0.99483,3.55,0.66,10.9
1227,9.0,0.58,0.25,2.0,0.104,8.0,21.0,0.99769,3.27,0.72,9.6
1283,8.7,0.63,0.28,2.7,0.096,17.0,69.0,0.99734,3.26,0.63,10.2
1505,6.7,0.76,0.02,1.8,0.078,6.0,12.0,0.996,3.55,0.63,9.95
633,10.1,0.935,0.22,3.4,0.105,11.0,86.0,1.001,3.43,0.64,11.3
989,9.7,0.295,0.4,1.5,0.073,14.0,21.0,0.99556,3.14,0.51,10.9
675,9.3,0.41,0.39,2.2,0.064,12.0,31.0,0.9984,3.26,0.65,10.2
424,7.7,0.96,0.2,2.0,0.047,15.0,60.0,0.9955,3.36,0.44,10.9
465,10.0,0.29,0.4,2.9,0.098,10.0,26.0,1.0006,3.48,0.91,9.7
896,8.3,0.31,0.39,2.4,0.078,17.0,43.0,0.99444,3.31,0.77,12.5
304,8.4,0.65,0.6,2.1,0.112,12.0,90.0,0.9973,3.2,0.52,9.2
1148,7.8,0.39,0.42,2.0,0.086,9.0,21.0,0.99526,3.39,0.66,11.6
519,7.3,0.365,0.49,2.5,0.088,39.0,106.0,0.9966,3.36,0.78,11.0
577,8.8,0.44,0.49,2.8,0.083,18.0,111.0,0.9982,3.3,0.6,9.5
496,7.8,0.52,0.25,1.9,0.081,14.0,38.0,0.9984,3.43,0.65,9.0
211,8.0,0.725,0.24,2.8,0.083,10.0,62.0,0.99685,3.35,0.56,10.0
1277,7.0,0.69,0.0,1.9,0.114,3.0,10.0,0.99636,3.35,0.6,9.7
1161,8.8,0.45,0.43,1.4,0.076,12.0,21.0,0.99551,3.21,0.75,10.2
1095,9.4,0.4,0.47,2.5,0.087,6.0,20.0,0.99772,3.15,0.5,10.5
1551,7.1,0.67,0.0,2.3,0.083,18.0,27.0,0.99768,3.44,0.54,9.4
910,9.3,0.38,0.48,3.8,0.132,3.0,11.0,0.99577,3.23,0.57,13.2
105,8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2
772,9.5,0.57,0.27,2.3,0.082,23.0,144.0,0.99782,3.27,0.55,9.4
143,6.3,0.39,0.08,1.7,0.066,3.0,20.0,0.9954,3.34,0.58,9.4
49,5.6,0.31,0.37,1.4,0.074,12.0,96.0,0.9954,3.32,0.58,9.2
13,7.8,0.61,0.29,1.6,0.114,9.0,29.0,0.9974,3.26,1.56,9.1
1537,5.4,0.58,0.08,1.9,0.059,20.0,31.0,0.99484,3.5,0.64,10.2
199,6.9,1.09,0.06,2.1,0.061,12.0,31.0,0.9948,3.51,0.43,11.4
1098,8.0,0.31,0.45,2.1,0.216,5.0,16.0,0.99358,3.15,0.81,12.5
292,10.4,0.55,0.23,2.7,0.091,18.0,48.0,0.9994,3.22,0.64,10.3
1204,7.2,0.36,0.46,2.1,0.074,24.0,44.0,0.99534,3.4,0.85,11.0
962,6.6,0.57,0.02,2.1,0.115,6.0,16.0,0.99654,3.38,0.69,9.5
36,7.8,0.6,0.14,2.4,0.086,3.0,15.0,0.9975,3.42,0.6,10.8
359,12.6,0.38,0.66,2.6,0.088,10.0,41.0,1.001,3.17,0.68,9.8
979,12.2,0.45,0.49,1.4,0.075,3.0,6.0,0.9969,3.13,0.63,10.4
1194,7.0,0.745,0.12,1.8,0.114,15.0,64.0,0.99588,3.22,0.59,9.5
746,8.2,0.34,0.38,2.5,0.08,12.0,57.0,0.9978,3.3,0.47,9.0
773,7.9,0.4,0.29,1.8,0.157,1.0,44.0,0.9973,3.3,0.92,9.5
674,10.8,0.4,0.41,2.2,0.084,7.0,17.0,0.9984,3.08,0.67,9.3
632,7.6,0.41,0.14,3.0,0.087,21.0,43.0,0.9964,3.32,0.57,10.5
1028,7.2,0.34,0.21,2.5,0.075,41.0,68.0,0.99586,3.37,0.54,10.1
812,10.8,0.45,0.33,2.5,0.099,20.0,38.0,0.99818,3.24,0.71,10.8
1192,7.2,0.25,0.37,2.5,0.063,11.0,41.0,0.99439,3.52,0.8,12.4
1248,6.9,0.41,0.33,2.2,0.081,22.0,36.0,0.9949,3.41,0.75,11.1
1080,10.3,0.27,0.56,1.4,0.047,3.0,8.0,0.99471,3.16,0.51,11.8
477,10.4,0.24,0.49,1.8,0.075,6.0,20.0,0.9977,3.18,1.06,11.0
642,9.9,0.54,0.45,2.3,0.071,16.0,40.0,0.9991,3.39,0.62,9.4
1403,7.2,0.33,0.33,1.7,0.061,3.0,13.0,0.996,3.23,1.1,10.0
21,7.6,0.39,0.31,2.3,0.082,23.0,71.0,0.9982,3.52,0.65,9.7
434,10.4,0.41,0.55,3.2,0.076,22.0,54.0,0.9996,3.15,0.89,9.9
156,7.1,0.43,0.42,5.5,0.07,29.0,129.0,0.9973,3.42,0.72,10.5
461,8.3,0.615,0.22,2.6,0.087,6.0,19.0,0.9982,3.26,0.61,9.3
838,10.1,0.31,0.35,1.6,0.075,9.0,28.0,0.99672,3.24,0.83,11.2
343,10.9,0.39,0.47,1.8,0.118,6.0,14.0,0.9982,3.3,0.75,9.8
335,11.9,0.695,0.53,3.4,0.128,7.0,21.0,0.9992,3.17,0.84,12.2
1465,6.8,0.59,0.1,1.7,0.063,34.0,53.0,0.9958,3.41,0.67,9.7
778,8.3,0.43,0.3,3.4,0.079,7.0,34.0,0.99788,3.36,0.61,10.5
59,7.3,0.39,0.31,2.4,0.074,9.0,46.0,0.9962,3.41,0.54,9.4
1535,7.0,0.55,0.13,2.2,0.075,15.0,35.0,0.9959,3.36,0.59,9.7
1518,7.4,0.47,0.46,2.2,0.114,7.0,20.0,0.99647,3.32,0.63,10.5
546,7.5,0.55,0.24,2.0,0.078,10.0,28.0,0.9983,3.45,0.78,9.5
769,7.9,0.72,0.01,1.9,0.076,7.0,32.0,0.99668,3.39,0.54,9.6
114,7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,9.5
55,7.7,0.62,0.04,3.8,0.084,25.0,45.0,0.9978,3.34,0.53,9.5
495,10.7,0.35,0.53,2.6,0.07,5.0,16.0,0.9972,3.15,0.65,11.0
1288,7.0,0.6,0.3,4.5,0.068,20.0,110.0,0.99914,3.3,1.17,10.2
274,7.5,0.65,0.18,7.0,0.088,27.0,94.0,0.99915,3.38,0.77,9.4
563,7.6,0.29,0.49,2.7,0.092,25.0,60.0,0.9971,3.31,0.61,10.1
10,6.7,0.58,0.08,1.8,0.097,15.0,65.0,0.9959,3.28,0.54,9.2
310,10.3,0.53,0.48,2.5,0.063,6.0,25.0,0.9998,3.12,0.59,9.3
232,8.5,0.37,0.2,2.8,0.09,18.0,58.0,0.998,3.34,0.7,9.6
1424,8.3,0.26,0.37,1.4,0.076,8.0,23.0,0.9974,3.26,0.7,9.6
1016,8.9,0.38,0.4,2.2,0.068,12.0,28.0,0.99486,3.27,0.75,12.6
173,7.4,0.62,0.05,1.9,0.068,24.0,42.0,0.9961,3.42,0.57,11.5
1485,7.0,0.655,0.16,2.1,0.074,8.0,25.0,0.99606,3.37,0.55,9.7
244,15.0,0.21,0.44,2.2,0.075,10.0,24.0,1.00005,3.07,0.84,9.2
514,10.5,0.51,0.64,2.4,0.107,6.0,15.0,0.9973,3.09,0.66,11.8
383,8.3,0.26,0.42,2.0,0.08,11.0,27.0,0.9974,3.21,0.8,9.4
803,7.7,0.56,0.08,2.5,0.114,14.0,46.0,0.9971,3.24,0.66,9.6
338,12.4,0.49,0.58,3.0,0.103,28.0,99.0,1.0008,3.16,1.0,11.5
589,10.2,0.29,0.49,2.6,0.059,5.0,13.0,0.9976,3.05,0.74,10.5
1031,7.3,0.55,0.01,1.8,0.093,9.0,15.0,0.99514,3.35,0.58,11.0
50,8.8,0.66,0.26,1.7,0.074,4.0,23.0,0.9971,3.15,0.74,9.2
474,10.5,0.28,0.51,1.7,0.08,10.0,24.0,0.9982,3.2,0.89,9.4
1045,6.9,0.44,0.0,1.4,0.07,32.0,38.0,0.99438,3.32,0.58,11.4
119,7.0,0.69,0.08,1.8,0.097,22.0,89.0,0.9959,3.34,0.54,9.2
599,12.7,0.59,0.45,2.3,0.082,11.0,22.0,1.0,3.0,0.7,9.3
151,9.2,0.52,1.0,3.4,0.61,32.0,69.0,0.9996,2.74,2.0,9.4
467,8.8,0.46,0.45,2.6,0.065,7.0,18.0,0.9947,3.32,0.79,14.0
1055,8.2,0.64,0.27,2.0,0.095,5.0,77.0,0.99747,3.13,0.62,9.1
807,8.2,0.28,0.4,2.4,0.052,4.0,10.0,0.99356,3.33,0.7,12.8
24,6.9,0.4,0.14,2.4,0.085,21.0,40.0,0.9968,3.43,0.63,9.7
505,10.2,0.49,0.63,2.9,0.072,10.0,26.0,0.9968,3.16,0.78,12.5
121,8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6,10.9
1522,6.1,0.32,0.25,2.3,0.071,23.0,58.0,0.99633,3.42,0.97,10.6
454,7.0,0.23,0.4,1.6,0.063,21.0,67.0,0.9952,3.5,0.63,11.1
1348,7.2,0.655,0.03,1.8,0.078,7.0,12.0,0.99587,3.34,0.39,9.5
1359,11.6,0.475,0.4,1.4,0.091,6.0,28.0,0.99704,3.07,0.65,10.0333333333333
852,8.0,0.42,0.32,2.5,0.08,26.0,122.0,0.99801,3.22,1.07,9.7
798,9.4,0.5,0.34,3.6,0.082,5.0,14.0,0.9987,3.29,0.52,10.7
1326,6.7,0.46,0.24,1.7,0.077,18.0,34.0,0.9948,3.39,0.6,10.6
1066,6.6,0.52,0.08,2.4,0.07,13.0,26.0,0.99358,3.4,0.72,12.5
1180,8.2,0.35,0.33,2.4,0.076,11.0,47.0,0.99599,3.27,0.81,11.0
1062,8.0,0.38,0.44,1.9,0.098,6.0,15.0,0.9956,3.3,0.64,11.4
1321,5.0,0.74,0.0,1.2,0.041,16.0,46.0,0.99258,4.01,0.59,12.5
1356,6.1,0.34,0.25,1.8,0.084,4.0,28.0,0.99464,3.36,0.44,10.1
57,7.5,0.63,0.12,5.1,0.111,50.0,110.0,0.9983,3.26,0.77,9.4
148,6.9,0.49,0.1,2.3,0.074,12.0,30.0,0.9959,3.42,0.58,10.2
1455,6.5,0.9,0.0,1.6,0.052,9.0,17.0,0.99467,3.5,0.63,10.9
511,10.0,0.59,0.31,2.2,0.09,26.0,62.0,0.9994,3.18,0.63,10.2
1261,6.3,1.02,0.0,2.0,0.083,17.0,24.0,0.99437,3.59,0.55,11.2
186,7.4,0.39,0.48,2.0,0.082,14.0,67.0,0.9972,3.34,0.55,9.2
1560,7.8,0.6,0.26,2.0,0.08,31.0,131.0,0.99622,3.21,0.52,9.9
562,9.0,0.54,0.49,2.9,0.094,41.0,110.0,0.9982,3.08,0.61,9.2
411,9.1,0.45,0.35,2.4,0.08,23.0,78.0,0.9987,3.38,0.62,9.5
547,10.6,0.31,0.49,2.5,0.067,6.0,21.0,0.9987,3.26,0.86,10.7
1228,5.1,0.42,0.0,1.8,0.044,18.0,88.0,0.99157,3.68,0.73,13.6
506,10.4,0.24,0.46,1.8,0.075,6.0,21.0,0.9976,3.25,1.02,10.8
344,11.9,0.57,0.5,2.6,0.082,6.0,32.0,1.0006,3.12,0.78,10.7
1467,6.7,1.04,0.08,2.3,0.067,19.0,32.0,0.99648,3.52,0.57,11.0
115,9.4,0.4,0.31,2.2,0.09,13.0,62.0,0.9966,3.07,0.63,10.5
1200,7.7,0.57,0.21,1.5,0.069,4.0,9.0,0.99458,3.16,0.54,9.8
1509,7.9,0.18,0.4,1.8,0.062,7.0,20.0,0.9941,3.28,0.7,11.1
630,8.7,0.54,0.26,2.5,0.097,7.0,31.0,0.9976,3.27,0.6,9.3
677,8.6,0.8,0.11,2.3,0.084,12.0,31.0,0.9979,3.4,0.48,9.9
744,11.1,0.39,0.54,2.7,0.095,21.0,101.0,1.0001,3.13,0.51,9.5
29,7.8,0.645,0.0,2.0,0.082,8.0,16.0,0.9964,3.38,0.59,9.8
463,8.1,0.66,0.7,2.2,0.098,25.0,129.0,0.9972,3.08,0.53,9.0
471,9.6,0.54,0.42,2.4,0.081,25.0,52.0,0.997,3.2,0.71,11.4
479,9.4,0.685,0.11,2.7,0.077,6.0,31.0,0.9984,3.19,0.7,10.1
